Designator,Mid X,Mid Y,Rotation,Layer
D1,198.15,-86.5,0.0,bottom
D10,133.35,-110.5,0.0,bottom
D11,203.0,-123.5,90.0,bottom
D12,187.0,-121.5,90.0,bottom
D13,171.0,-119.5,90.0,bottom
D14,155.0,-123.65,90.0,bottom
D15,139.0,-131.65,90.0,bottom
D2,177.0,-90.0,270.0,bottom
D3,165.85,-82.5,0.0,bottom
D4,150.0,-86.5,0.0,bottom
D5,134.15,-94.5,0.0,bottom
D6,198.0,-102.5,0.0,bottom
D7,182.0,-100.5,0.0,bottom
D8,165.65,-98.5,0.0,bottom
D9,149.85,-102.5,0.0,bottom
J1,189.75,-93.85,0.0,bottom
SW1,198.0,-91.5,270.0,top
SW10,134.0,-115.5,270.0,top
SW11,198.0,-123.5,90.0,top
SW12,182.0,-121.5,90.0,top
SW13,166.0,-119.5,90.0,top
SW14,150.0,-123.5,90.0,top
SW15,134.0,-131.5,90.0,top
SW2,182.0,-89.5,0.0,top
SW3,166.0,-87.5,270.0,top
SW4,150.0,-91.5,270.0,top
SW5,134.0,-99.5,270.0,top
SW6,198.0,-107.5,270.0,top
SW7,182.0,-105.5,270.0,top
SW8,166.0,-103.5,270.0,top
SW9,150.0,-107.5,270.0,top
