Designator,Footprint,Quantity,Value,LCSC Part #
BT1,Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal,1,Battery,
"C1, C2",0402,2,1uF,
C10,0603,1,10uF X7R,
C11,0402,1,10nF X7R,
C12,0402,1,10nF,
C13,0402,1,100nF X7R,
"C15, C16",0402,2,100nF,
C17,0603,1,3.3uF/16V,
"D1, D2, D3, D4",D_SOD-123,4,D,
J1,Hirose_FH12-10S-0.5SH_1x10-1MP_P0.50mm_Horizontal,1,Conn_01x10,
R1,0603,1,10k,
SW1,TGSW_MSK-12D19,1,SW_SPDT,
"SW2, SW3, SW4, SW5",SW_Hotswap_Kailh_Choc_V2_1.00u,4,SW_Push,
U1,XIAO_nRF52840_wBAT_wNFC_1,1,xiao-ble,
U2,PMW3610,1,PMW3610,
U3,SOT-23-5,1,TLV70218_SOT23-5,
